,filename,label,custom_model_response,custom_model_label,custom_model_confidence,custom_model_quality,image_name,aws_labels
0,BreastExam/dreamstimemaximum_250259473.jpg,non_suggestive,"[{'Name': 'non_suggestive', 'Confidence': 92.67500305175781}]",['non_suggestive'],[92.67500305175781],TN,BreastExam/dreamstimemaximum_250259473.jpg,[]
1,BreastExam/dreamstimemaximum_207123274.jpg,non_suggestive,"[{'Name': 'non_suggestive', 'Confidence': 96.83799743652344}]",['non_suggestive'],[96.83799743652344],TN,BreastExam/dreamstimemaximum_207123274.jpg,[]
2,BreastExam/dreamstimemaximum_133939417.jpg,non_suggestive,"[{'Name': 'non_suggestive', 'Confidence': 98.40599822998047}]",['non_suggestive'],[98.40599822998047],TN,BreastExam/dreamstimemaximum_133939417.jpg,[]
3,BreastExam/dreamstimemaximum_96797189.jpg,non_suggestive,"[{'Name': 'non_suggestive', 'Confidence': 78.85700225830078}]",['non_suggestive'],[78.85700225830078],TN,BreastExam/dreamstimemaximum_96797189.jpg,[]
4,BreastExam/dreamstimemaximum_94323393.jpg,non_suggestive,"[{'Name': 'non_suggestive', 'Confidence': 87.16799926757812}]",['non_suggestive'],[87.16799926757812],TN,BreastExam/dreamstimemaximum_94323393.jpg,[]
5,BreastExam/dreamstimemaximum_94306606.jpg,non_suggestive,"[{'Name': 'non_suggestive', 'Confidence': 98.98600006103516}]",['non_suggestive'],[98.98600006103516],TN,BreastExam/dreamstimemaximum_94306606.jpg,"[{name"": ""Explicit"", ""parent_name"": """"}, {""name"": ""Exposed Female Nipple"", ""parent_name"": ""Explicit Nudity""}, {""name"": ""Explicit Nudity"", ""parent_name"": ""Explicit""}]"""
6,BreastExam/dreamstimemaximum_59736182.jpg,non_suggestive,"[{'Name': 'non_suggestive', 'Confidence': 99.06999969482422}]",['non_suggestive'],[99.06999969482422],TN,BreastExam/dreamstimemaximum_59736182.jpg,"[{name"": ""Non-Explicit Nudity of Intimate parts and Kissing"", ""parent_name"": """"}, {""name"": ""Non-Explicit Nudity"", ""parent_name"": ""Non-Explicit Nudity of Intimate parts and Kissing""}, {""name"": ""Partially Exposed Female Breast"", ""parent_name"": ""Non-Explicit Nudity""}, {""name"": ""Swimwear or Underwear"", ""parent_name"": """"}, {""name"": ""Female Swimwear or Underwear"", ""parent_name"": ""Swimwear or Underwear""}]"""
7,Menstruation/What_are_heavy_periods_Kk8hREp.width-960.png,non_suggestive,"[{'Name': 'non_suggestive', 'Confidence': 98.94599914550781}]",['non_suggestive'],[98.94599914550781],TN,Menstruation/What_are_heavy_periods_Kk8hREp.width-960.png,[]
8,ReproductiveHealth/dreamstimemaximum_45400686.jpg,non_suggestive,"[{'Name': 'non_suggestive', 'Confidence': 93.45899963378906}]",['non_suggestive'],[93.45899963378906],TN,ReproductiveHealth/dreamstimemaximum_45400686.jpg,[]
9,Suggestive/dreamstimemaximum_194102913.jpg,suggestive,"[{'Name': 'non_suggestive', 'Confidence': 90.71599578857422}]",['non_suggestive'],[90.71599578857422],FN,Suggestive/dreamstimemaximum_194102913.jpg,"[{name"": ""Non-Explicit Nudity of Intimate parts and Kissing"", ""parent_name"": """"}, {""name"": ""Non-Explicit Nudity"", ""parent_name"": ""Non-Explicit Nudity of Intimate parts and Kissing""}, {""name"": ""Partially Exposed Buttocks"", ""parent_name"": ""Non-Explicit Nudity""}, {""name"": ""Swimwear or Underwear"", ""parent_name"": """"}, {""name"": ""Female Swimwear or Underwear"", ""parent_name"": ""Swimwear or Underwear""}]"""
10,Suggestive/dreamstimemaximum_140720311.jpg,suggestive,"[{'Name': 'suggestive', 'Confidence': 75.3030014038086}]",['suggestive'],[75.3030014038086],TP,Suggestive/dreamstimemaximum_140720311.jpg,"[{name"": ""Non-Explicit Nudity of Intimate parts and Kissing"", ""parent_name"": """"}, {""name"": ""Non-Explicit Nudity"", ""parent_name"": ""Non-Explicit Nudity of Intimate parts and Kissing""}, {""name"": ""Partially Exposed Female Breast"", ""parent_name"": ""Non-Explicit Nudity""}]"""
11,Suggestive/dreamstimemaximum_113797033.jpg,suggestive,"[{'Name': 'suggestive', 'Confidence': 92.46800231933594}]",['suggestive'],[92.46800231933594],TP,Suggestive/dreamstimemaximum_113797033.jpg,"[{name"": ""Swimwear or Underwear"", ""parent_name"": """"}, {""name"": ""Female Swimwear or Underwear"", ""parent_name"": ""Swimwear or Underwear""}, {""name"": ""Non-Explicit Nudity of Intimate parts and Kissing"", ""parent_name"": """"}, {""name"": ""Non-Explicit Nudity"", ""parent_name"": ""Non-Explicit Nudity of Intimate parts and Kissing""}, {""name"": ""Partially Exposed Female Breast"", ""parent_name"": ""Non-Explicit Nudity""}]"""
12,Suggestive/dreamstimemaximum_96835820.jpg,suggestive,"[{'Name': 'non_suggestive', 'Confidence': 99.25}]",['non_suggestive'],[99.25],FN,Suggestive/dreamstimemaximum_96835820.jpg,"[{name"": ""Non-Explicit Nudity of Intimate parts and Kissing"", ""parent_name"": """"}, {""name"": ""Non-Explicit Nudity"", ""parent_name"": ""Non-Explicit Nudity of Intimate parts and Kissing""}, {""name"": ""Partially Exposed Buttocks"", ""parent_name"": ""Non-Explicit Nudity""}, {""name"": ""Swimwear or Underwear"", ""parent_name"": """"}, {""name"": ""Female Swimwear or Underwear"", ""parent_name"": ""Swimwear or Underwear""}]"""
13,WomensHealthGeneral/dreamstimemaximum_331439279.jpg,non_suggestive,"[{'Name': 'non_suggestive', 'Confidence': 97.61199951171875}]",['non_suggestive'],[97.61199951171875],TN,WomensHealthGeneral/dreamstimemaximum_331439279.jpg,[]
14,WomensHealthGeneral/dreamstimemaximum_165473986.jpg,non_suggestive,"[{'Name': 'non_suggestive', 'Confidence': 97.8010025024414}]",['non_suggestive'],[97.8010025024414],TN,WomensHealthGeneral/dreamstimemaximum_165473986.jpg,"[{name"": ""Swimwear or Underwear"", ""parent_name"": """"}, {""name"": ""Female Swimwear or Underwear"", ""parent_name"": ""Swimwear or Underwear""}, {""name"": ""Non-Explicit Nudity of Intimate parts and Kissing"", ""parent_name"": """"}, {""name"": ""Non-Explicit Nudity"", ""parent_name"": ""Non-Explicit Nudity of Intimate parts and Kissing""}, {""name"": ""Partially Exposed Buttocks"", ""parent_name"": ""Non-Explicit Nudity""}]"""
15,WomensHealthGeneral/dreamstimemaximum_148999817.jpg,non_suggestive,"[{'Name': 'non_suggestive', 'Confidence': 99.83499908447266}]",['non_suggestive'],[99.83499908447266],TN,WomensHealthGeneral/dreamstimemaximum_148999817.jpg,[]
16,WomensHealthGeneral/dreamstimemaximum_148035283.jpg,non_suggestive,"[{'Name': 'non_suggestive', 'Confidence': 94.64300537109375}]",['non_suggestive'],[94.64300537109375],TN,WomensHealthGeneral/dreamstimemaximum_148035283.jpg,[]
17,WomensHealthGeneral/dreamstimemaximum_147152548.jpg,non_suggestive,"[{'Name': 'non_suggestive', 'Confidence': 99.72000122070312}]",['non_suggestive'],[99.72000122070312],TN,WomensHealthGeneral/dreamstimemaximum_147152548.jpg,[]
18,WomensHealthGeneral/dreamstimemaximum_121070767.jpg,non_suggestive,"[{'Name': 'non_suggestive', 'Confidence': 93.47599792480469}]",['non_suggestive'],[93.47599792480469],TN,WomensHealthGeneral/dreamstimemaximum_121070767.jpg,"[{name"": ""Swimwear or Underwear"", ""parent_name"": """"}, {""name"": ""Female Swimwear or Underwear"", ""parent_name"": ""Swimwear or Underwear""}]"""
19,WomensHealthGeneral/dreamstimemaximum_115683068.jpg,non_suggestive,"[{'Name': 'non_suggestive', 'Confidence': 88.71099853515625}]",['non_suggestive'],[88.71099853515625],TN,WomensHealthGeneral/dreamstimemaximum_115683068.jpg,"[{name"": ""Swimwear or Underwear"", ""parent_name"": """"}, {""name"": ""Female Swimwear or Underwear"", ""parent_name"": ""Swimwear or Underwear""}]"""
20,WomensHealthGeneral/dreamstimemaximum_97457146.jpg,non_suggestive,"[{'Name': 'non_suggestive', 'Confidence': 85.12699890136719}]",['non_suggestive'],[85.12699890136719],TN,WomensHealthGeneral/dreamstimemaximum_97457146.jpg,"[{name"": ""Swimwear or Underwear"", ""parent_name"": """"}, {""name"": ""Female Swimwear or Underwear"", ""parent_name"": ""Swimwear or Underwear""}, {""name"": ""Non-Explicit Nudity of Intimate parts and Kissing"", ""parent_name"": """"}, {""name"": ""Non-Explicit Nudity"", ""parent_name"": ""Non-Explicit Nudity of Intimate parts and Kissing""}, {""name"": ""Partially Exposed Buttocks"", ""parent_name"": ""Non-Explicit Nudity""}]"""
21,WomensHealthGeneral/dreamstimemaximum_20682371.jpg,non_suggestive,"[{'Name': 'non_suggestive', 'Confidence': 83.28400421142578}]",['non_suggestive'],[83.28400421142578],TN,WomensHealthGeneral/dreamstimemaximum_20682371.jpg,[]
22,PregnantNonSuggestive/tracy-truhan-U5Jc1Cfz228-unsplash.jpg,non_suggestive,"[{'Name': 'non_suggestive', 'Confidence': 98.85200500488281}]",['non_suggestive'],[98.85200500488281],TN,PregnantNonSuggestive/tracy-truhan-U5Jc1Cfz228-unsplash.jpg,[]
23,PregnantNonSuggestive/tony-luginsland-rqCP3-1Apas-unsplash.jpg,non_suggestive,"[{'Name': 'non_suggestive', 'Confidence': 79.25199890136719}]",['non_suggestive'],[79.25199890136719],TN,PregnantNonSuggestive/tony-luginsland-rqCP3-1Apas-unsplash.jpg,"[{name"": ""Swimwear or Underwear"", ""parent_name"": """"}, {""name"": ""Female Swimwear or Underwear"", ""parent_name"": ""Swimwear or Underwear""}]"""
24,PregnantNonSuggestive/toa-heftiba-cHmKxSne48k-unsplash.jpg,non_suggestive,"[{'Name': 'non_suggestive', 'Confidence': 89.41799926757812}]",['non_suggestive'],[89.41799926757812],TN,PregnantNonSuggestive/toa-heftiba-cHmKxSne48k-unsplash.jpg,[]
